County,Barack_Obama,John_McCain,Chuck_Baldwin,Bob_Barr,Charles_Jay,Cynthia_McKinney,Brian_Moore,Ralph_Nader
Anderson,11396,19675,134,146,9,24,11,175
Bedford,5027,10217,76,51,4,17,11,104
Benton,2645,3696,38,21,2,16,5,56
Bledsoe,1517,3166,27,17,6,10,9,32
Blount,15253,35571,245,239,23,41,13,260
Bradley,9357,28333,134,127,14,45,24,157
Campbell,3867,8535,61,34,5,18,9,99
Cannon,2011,3322,29,27,2,11,5,50
Carroll,3980,7455,55,37,7,19,7,86
Carter,5587,15852,77,80,10,31,21,111
Cheatham,5498,10702,59,48,4,11,5,101
Chester,1797,4587,16,22,6,7,1,23
Claiborne,3078,7175,40,34,5,16,8,64
Clay,1248,1676,23,14,0,10,2,21
Cocke,3340,8945,47,30,9,19,15,76
Coffee,7132,13250,114,94,10,30,21,139
Crockett,1967,3994,14,19,1,10,3,29
Cumberland,7889,17436,97,96,6,26,11,151
Davidson,158423,102915,619,850,81,279,155,1164
Decatur,1566,3101,24,19,3,7,5,38
Dekalb,2832,4085,34,33,4,15,5,57
Dickson,7506,11677,90,65,14,23,19,125
Dyer,4411,9859,45,36,2,15,10,72
Fayette,6892,12173,38,65,11,27,10,38
Fentress,1831,4789,27,23,6,14,7,42
Franklin,6613,10539,69,54,8,23,11,115
Gibson,7406,13516,89,75,16,27,17,107
Giles,4614,6902,44,38,8,14,5,64
Grainger,2066,5297,27,26,3,14,6,64
Greene,7110,17151,110,72,18,34,34,141
Grundy,1971,2563,28,21,2,7,2,38
Hamblen,6807,15508,92,99,11,30,11,111
Hamilton,64246,81702,441,491,18,81,30,511
Hancock,604,1588,10,6,4,3,0,26
Hardeman,5919,5225,24,19,12,9,5,24
Hardin,2794,7077,19,33,14,20,14,64
Hawkins,5930,14756,89,61,7,22,31,144
Haywood,4893,3165,11,18,6,4,0,24
Henderson,3021,7669,39,41,8,11,5,40
Henry,5153,8182,55,42,10,13,10,80
Hickman,3563,4784,51,31,1,10,2,56
Houston,1678,1608,23,16,3,2,1,23
Humphreys,3600,3818,42,24,6,15,9,66
Jackson,2224,2185,11,16,5,11,5,44
Jefferson,5178,13092,55,68,6,17,10,106
Johnson,1837,4621,30,27,4,13,10,49
Knox,70215,113015,599,963,98,197,65,934
Lake,1024,1175,5,10,4,1,0,19
Lauderdale,4322,4933,24,20,3,6,2,28
Lawrence,5161,10566,89,44,11,21,14,114
Lewis,1804,2951,21,16,0,5,2,35
Lincoln,3695,9231,46,48,7,16,15,72
Loudon,6058,15815,69,99,5,15,15,108
Macon,2060,5145,59,29,6,10,6,45
Madison,20209,23290,99,110,17,22,11,88
Marion,4506,6746,40,49,7,12,8,69
Marshall,4320,6755,46,49,10,13,8,88
Maury,13058,20288,105,106,9,35,14,152
Mcminn,5541,12989,65,67,6,15,13,93
Mcnairy,3131,7135,32,17,1,12,14,80
Meigs,1372,2797,17,14,4,4,1,28
Monroe,5053,11484,56,66,8,19,9,82
Montgomery,25716,30175,145,144,17,73,23,225
Moore,881,2010,16,13,1,2,6,23
Morgan,1969,4717,43,23,7,20,6,37
Obion,4308,8873,45,33,7,19,9,98
Overton,3419,4497,41,38,5,22,11,59
Perry,1329,1596,25,13,0,7,5,25
Pickett,854,1786,3,9,1,1,2,15
Polk,2124,4267,24,25,4,4,9,44
Putnam,9739,17101,124,108,9,36,23,176
Rhea,2907,8042,38,42,7,17,10,43
Roane,7224,15658,77,93,9,33,12,170
Robertson,9318,17903,96,87,10,22,14,164
Rutherford,40460,59892,320,372,47,109,32,505
Scott,1720,4931,22,33,8,10,6,53
Sequatchie,1717,3610,33,24,4,8,7,34
Sevier,8604,24922,106,85,13,31,27,153
Shelby,256297,145458,610,725,103,201,113,673
Smith,2992,4563,67,33,2,12,7,65
Stewart,2470,2956,15,18,6,6,2,34
Sullivan,18354,44808,254,222,16,48,21,274
Sumner,21487,44949,184,227,22,52,21,286
Tipton,7931,17165,52,68,5,20,11,64
Trousdale,1475,1688,32,13,1,4,2,24
Unicoi,2107,5011,37,26,3,3,5,31
Union,1829,4467,22,18,2,17,6,38
Van Buren,849,1294,18,11,2,3,3,26
Warren,5515,8562,79,65,13,36,15,115
Washington,15941,32341,204,172,26,48,28,222
Wayne,1355,4076,14,24,6,9,7,36
Weakley,4596,8855,68,59,5,13,21,73
White,3372,6103,49,31,8,9,5,70
Williamson,27886,64858,248,307,17,35,18,277
Wilson,15886,34595,186,174,15,45,32,226
